Date,Close,High,Low,Open,Volume,symbol,swing_high,swing_low,last_swing_high,last_swing_low,bos,bos_down,range_ok,buy_signal,sell_signal,position,entry_price,risk_amount,qty,trade_pnl,equity_curve,strategy_returns,peak,drawdown
2015-11-30 00:00:00,209.5550079345703,213.30364840482852,208.51492589455523,212.02520639572313,29919205.0,RELIANCE.NS,False,False,215.058780930578,197.1715493127983,False,False,True,0.0,0.0,1.0,209.57669067382812,2000.0,954.3046001774469,0.0,1.0,0.0,1.0,0.0
2015-12-01 00:00:00,209.2949981689453,212.09021327421635,208.2874177717434,208.88329600776646,12981379.0,RELIANCE.NS,False,True,215.058780930578,208.2874177717434,False,False,True,0.0,0.0,1.0,209.57669067382812,2000.0,954.3046001774469,0.0,1.0,0.0,1.0,0.0
2015-12-02 00:00:00,211.90603637695312,212.28523687639364,208.9916340642138,209.37083456365434,7573628.0,RELIANCE.NS,False,False,215.058780930578,208.2874177717434,False,False,True,0.0,0.0,1.0,209.57669067382812,2000.0,954.3046001774469,0.0,1.0,0.0,1.0,0.0
2015-12-03 00:00:00,211.7435302734375,214.28956617379202,211.07181477987675,211.2451569809326,11361395.0,RELIANCE.NS,True,False,214.28956617379202,208.2874177717434,False,False,True,0.0,0.0,1.0,209.57669067382812,2000.0,954.3046001774469,0.0,1.0,0.0,1.0,0.0
2015-12-04 00:00:00,209.19749450683594,211.52685265735997,208.3199351489603,210.68178049773368,13443688.0,RELIANCE.NS,False,False,214.28956617379202,208.2874177717434,False,False,True,0.0,0.0,1.0,209.57669067382812,2000.0,954.3046001774469,0.0,1.0,0.0,1.0,0.0
2015-12-07 00:00:00,206.2939453125,210.83347449574848,205.79557200760317,209.19749957472837,14483909.0,RELIANCE.NS,False,False,214.28956617379202,208.2874177717434,False,True,True,0.0,0.0,1.0,209.57669067382812,2000.0,954.3046001774469,0.0,1.0,0.0,1.0,0.0
2015-12-08 00:00:00,203.8778839111328,206.62976331050191,202.83780191371343,205.61134908534262,7532164.0,RELIANCE.NS,False,False,214.28956617379202,208.2874177717434,False,True,True,0.0,1.0,-1.0,203.8778839111328,2000.0,980.979379240452,0.0,1.0,0.0,1.0,0.0
2015-12-09 00:00:00,198.46080017089844,204.43044555665102,197.7999185911125,202.85948852847437,9174419.0,RELIANCE.NS,False,True,214.28956617379202,197.7999185911125,False,False,True,0.0,1.0,-1.0,203.8778839111328,2000.0,980.979379240452,0.0,1.0,0.0,1.0,0.0
2015-12-10 00:00:00,205.92556762695312,206.67312031200535,199.34921002517478,199.89091885238525,18592203.0,RELIANCE.NS,False,False,214.28956617379202,197.7999185911125,False,False,True,0.0,0.0,-1.0,203.8778839111328,2000.0,980.979379240452,0.0,1.0,0.0,1.0,0.0
2015-12-11 00:00:00,206.48895263671875,207.79989644134054,204.31128335194933,206.22893933201533,18155513.0,RELIANCE.NS,False,False,214.28956617379202,197.7999185911125,False,False,True,0.0,0.0,-1.0,203.8778839111328,2000.0,980.979379240452,0.0,1.0,0.0,1.0,0.0
